input,output
0,0
0,0
0,0
0,0
1,0.3
1,0.51
0,0.327
0,0.1779
0,0.09183
1,0.346491
1,0.5333607
0,0.33870339
1,0.483756303
0,0.304759073
1,0.464955721
1,0.594993097
0,0.369999596
1,0.499500407
1,0.612650326
1,0.678905187
1,0.713968598
0,0.4318875
1,0.53092439
0,0.328458323
1,0.476828387
0,0.300934039
1,0.462970988
1,0.593986288
1,0.669493303
0,0.409246683
0,0.219523348
1,0.412741675
1,0.566966838
1,0.655602619
0,0.40222515
1,0.515997343
0,0.320975625
1,0.473083203
0,0.29906068
1,0.462034156
0,0.293517841
0,0.159259073
1,0.382129567
0,0.25156479
0,0.137882396
1,0.371361198
1,0.546164599
0,0.3451791
1,0.48700891
0,0.306388327
1,0.465770938
0,0.295400824
0,0.160203483
0,0.082602356
0,0.041801301
0,0.021000675
1,0.310520342
0,0.215264172
0,0.119632886
0,0.062216603
0,0.031588334
0,0.015890173
0,0.007964288
1,0.303985984
0,0.21199376
0,0.117997034
1,0.361398548
1,0.54117928
0,0.342685641
1,0.485762021
1,0.60576485
1,0.675459193
0,0.41224495
1,0.521025546
1,0.623493387
0,0.384342816
0,0.206690633
0,0.106249161
1,0.35370535
1,0.536968829
1,0.640507645
0,0.394658469
0,0.212210164
1,0.409081268
1,0.565135871
0,0.354686983
1,0.491767301
1,0.608768412
0,0.376961159
0,0.20299597
0,0.104401063
0,0.052781147
1,0.326506697
1,0.523276573
1,0.633642931
0,0.391222395
1,0.510491383
1,0.618221729
1,0.681706072
0,0.415372077
1,0.522589847
0,0.324275685
0,0.174733995
1,0.389886228
1,0.55544696
1,0.649824249
0,0.399332278
1,0.51455017
0,0.320251891
0,0.172721307
1,0.388879726
0,0.254943677
1,0.439572602
1,0.582206453
0,0.363587257
1,0.496290435
1,0.611044579
1,0.678102162
1,0.713567055
0,0.431686722
0,0.230824
1,0.418408128
1,0.56980329
0,0.35702149
1,0.492934714
1,0.609352151
0,0.377253034
0,0.203141909
0,0.104474033
1,0.352817632
0,0.236524939
0,0.130285694
1,0.367547492
0,0.244254675
0,0.134223523
1,0.369530999
1,0.545249347
0,0.344721443
1,0.486780075
0,0.306273908
1,0.465713728
1,0.595372219
0,0.37018918
1,0.499595204
0,0.312697725
0,0.168928887
0,0.086980448
1,0.343993425
1,0.532097353
1,0.638068804
0,0.393438428
0,0.211600019
0,0.108776171
1,0.354983317
0,0.237610705
0,0.130829162
1,0.367819343
1,0.544390624
0,0.344291502
0,0.186564989
0,0.096166342
1,0.348659941
1,0.534445324
0,0.339245733
1,0.484027481
1,0.604894663
1,0.675023516
1,0.712026995
0,0.430916545
0,0.230438882
0,0.118215563
1,0.359707006
